annual_income,account_tenure_days,age,engagement_score,support_tickets,annual_spending
40465.35,174,36,51.15,6,86.51
38013.88,782,59,45.07,2,94.26
78581.12,772,50,75.13,1,254.57
44125.04,730,42,46.46,0,123.55
24303.42,1876,36,34.38,3,105.88
26283.38,1718,36,26.17,3,38.17
29563.66,277,46,27.81,4,91.21
64436.69,585,49,92.78,4,175.35
53015.21,216,30,16.51,1,102.23
71665.66,412,42,98.82,1,166.82
38754.84,221,18,32.69,4,77.55
53487.16,2038,44,8.84,1,179.45
69152.86,580,51,24.87,1,179.3
41351.31,324,38,5.84,5,108.26
63021.2,1330,65,79.0,6,174.38
34062.1,46,30,51.26,1,150.33
40147.7,53,44,33.7,2,113.35
39737.24,894,41,66.2,0,120.41
25394.51,428,40,63.06,1,102.89
64076.62,518,40,93.99,1,138.91
37866.75,107,43,96.13,4,162.71
49358.82,394,53,68.07,2,87.43
63857.59,2991,59,81.78,1,207.09
62667.12,919,41,79.24,2,151.96
70683.1,478,52,49.13,1,164.74
46436.12,260,32,70.45,2,182.16
38839.22,271,51,7.83,1,94.8
46917.92,47,32,75.8,6,110.86
19379.4,521,56,96.18,1,165.77
22116.7,939,70,8.5,2,83.96
23683.06,83,40,83.61,2,93.48
28325.4,208,18,93.3,3,85.01
61076.09,126,34,22.62,2,144.83
29791.74,153,58,52.48,5,67.29
39815.46,425,49,92.79,3,118.39
100165.15,50,45,96.02,3,280.3
40297.91,745,55,12.79,8,90.15
73543.59,857,48,34.9,4,152.9
29334.23,313,57,69.81,4,76.36
43783.37,33,53,22.16,2,92.92
29070.75,148,61,32.48,3,88.61
40681.63,1384,46,2.33,6,136.33
77821.22,25,53,15.35,2,216.8
18957.86,284,38,56.23,2,82.1
62251.19,123,34,65.31,3,161.55
55868.42,901,64,64.89,2,214.19
35355.79,205,44,77.84,3,125.86
22129.53,604,52,41.53,0,91.06
51004.61,710,43,27.35,3,112.88
36635.72,2530,34,1.56,2,75.8
55713.17,329,42,20.66,1,151.19
49613.52,587,60,31.24,5,111.45
118299.92,91,49,17.82,1,236.17
42974.17,1326,19,2.01,5,131.06
27919.38,188,39,15.74,1,33.49
54100.66,230,65,66.61,3,119.9
55326.0,394,39,62.96,6,63.99
103523.42,84,18,93.57,5,195.87
77599.11,507,66,79.82,2,180.74
59651.77,1061,50,56.78,4,194.97
109624.55,540,41,13.76,3,242.99
25493.54,82,37,56.41,1,41.31
34480.07,356,56,6.16,4,83.5
29448.06,847,34,43.09,2,77.12
39561.22,61,56,39.03,3,141.56
22990.18,137,49,42.78,2,105.38
69517.45,969,45,27.98,5,214.68
43381.03,528,43,68.58,3,173.85
21830.35,609,39,84.09,1,89.91
28041.24,2590,55,76.85,3,161.91
58246.11,644,30,62.78,3,135.05
77727.91,778,20,53.83,2,159.18
147002.08,6067,49,3.11,2,303.14
243439.65,325,50,72.29,2,194.85
61569.7,181,48,54.5,3,184.46
28445.75,618,47,27.07,2,93.8
15174.54,625,37,32.78,7,66.33
56797.14,238,52,93.56,3,193.1
31347.27,143,41,62.44,3,135.38
39009.23,4063,35,47.59,5,166.4
35008.52,559,37,62.09,4,108.16
45368.12,193,68,41.37,4,84.96
88105.4,1008,19,47.02,2,200.44
53443.31,361,48,29.03,1,112.78
44925.05,313,20,43.99,1,97.26
27733.34,707,40,68.56,1,95.84
19514.72,110,36,3.99,3,100.92
37516.29,573,18,79.5,2,103.3
47591.98,2732,47,28.3,3,141.43
129619.88,643,37,68.26,4,174.83
52662.08,276,18,64.27,0,120.58
84162.67,242,52,65.26,5,190.35
37249.26,267,60,60.81,4,149.36
25547.15,312,61,95.91,4,117.77
28830.4,276,46,50.83,0,122.32
32896.64,1008,42,73.23,1,154.73
158048.68,71,59,70.54,2,262.64
31202.0,955,63,23.63,3,143.5
77743.41,275,56,28.33,2,192.77
29833.59,588,29,42.4,3,80.71
81827.21,130,44,27.77,2,114.26
60580.18,1523,47,36.67,2,250.98
44974.42,1401,18,39.1,3,160.0
47934.01,1053,48,60.39,4,171.79
34196.1,88,71,21.99,4,123.37
62651.3,924,50,80.43,4,259.91
38168.24,604,61,43.75,5,135.02
24982.15,81,44,70.62,5,108.32
24273.35,393,41,8.14,2,49.04
53902.03,580,46,47.0,4,134.65
116832.92,703,31,2.82,2,197.05
53529.89,481,29,67.59,2,131.66
45924.27,539,58,34.37,2,124.46
57365.85,1760,59,94.93,2,249.55
100539.0,1374,29,32.41,3,276.24
55307.31,22,54,56.38,6,147.62
39104.39,293,40,25.74,5,28.64
90080.48,342,46,62.01,4,232.7
62057.46,69,47,46.7,5,193.76
114081.2,443,54,37.06,1,274.4
54218.58,1406,43,20.37,4,207.45
24997.77,136,60,11.15,3,104.86
23098.26,564,46,11.99,4,90.5
121541.42,161,50,99.9,3,254.89
126502.35,206,31,41.23,4,222.78
44411.98,1767,70,0.19,3,134.81
39705.58,234,48,95.29,2,136.57
109512.54,640,51,2.0,1,203.47
26665.47,62,21,41.86,2,40.76
29968.44,2597,31,71.75,1,139.16
69830.75,737,58,91.46,5,202.31
39457.02,336,45,71.29,2,131.81
48882.9,717,18,46.36,3,93.36
44806.41,98,55,97.44,3,170.35
59022.03,1316,34,3.93,4,243.42
106310.04,291,60,98.69,0,221.8
51524.96,328,40,84.94,2,114.78
69854.26,246,44,92.89,6,175.72
15873.48,225,57,25.48,4,29.73
47724.72,808,30,14.25,5,129.34
30829.38,521,29,66.33,2,170.82
25075.66,774,39,51.59,1,140.68
30242.88,399,52,52.32,3,147.78
40791.63,673,24,92.46,4,141.69
81125.0,265,20,62.01,2,222.84
23635.0,3750,52,31.11,2,55.08
49853.67,84,34,40.01,5,99.48
37560.45,1423,36,13.35,5,171.24
40936.6,1584,18,19.23,3,125.72
85094.43,172,33,14.34,2,173.15
65904.6,3749,41,81.03,2,237.65
102290.18,1091,54,70.49,5,259.74
45027.19,1065,31,53.03,5,112.86
33430.75,414,63,37.44,8,44.89
43342.01,324,33,66.85,4,116.88
56014.91,327,33,81.29,3,191.4
54020.31,596,61,88.12,2,107.13
26999.85,1637,44,54.7,1,153.37
51522.27,483,34,81.99,4,146.56
55577.05,162,39,51.13,3,196.17
195753.35,920,59,47.45,5,218.11
137621.79,1013,61,86.54,0,214.0
30660.06,776,31,38.64,3,121.28
41853.85,850,41,39.59,8,148.7
21918.95,307,43,30.49,3,112.2
35422.81,159,29,51.87,3,104.88
58313.14,169,41,54.49,5,177.13
95150.92,78,42,66.05,5,248.88
32826.91,511,56,43.05,2,87.12
34208.16,371,57,21.78,5,155.52
15047.86,259,37,86.68,5,106.89
44825.56,20,39,34.6,2,112.78
27328.14,115,50,92.29,4,118.64
36636.79,1237,34,20.74,3,182.63
30264.38,207,49,56.01,3,108.16
46544.1,578,40,53.66,2,81.63
18643.44,100,29,82.86,4,114.64
21875.56,1700,29,13.89,4,52.46
158116.27,349,60,90.99,1,238.14
24147.05,539,39,53.14,4,124.3
26816.37,4128,63,58.61,1,135.41
134632.27,1838,35,51.02,6,268.34
242264.88,296,45,3.6,2,206.89
25735.8,222,73,49.71,1,141.19
40033.15,291,28,26.35,2,86.75
59151.4,671,18,34.27,2,160.06
126852.94,363,58,64.91,4,212.94
28487.73,271,31,49.77,0,116.73
42834.42,1749,41,9.32,1,152.77
75172.12,359,34,7.3,3,180.71
62262.92,4022,45,18.57,2,214.92
39859.42,441,29,19.09,3,156.36
45542.32,2405,39,60.83,2,176.83
23012.83,576,47,17.78,3,87.16
43002.11,1056,28,88.17,3,141.69
42339.97,195,32,20.98,3,108.28
55697.66,171,37,9.11,5,142.24
36118.84,638,23,87.57,1,118.74
63535.0,1084,36,29.53,3,178.26
85561.76,420,43,42.54,3,157.4
53395.73,111,36,95.9,3,108.48
59484.2,103,38,94.44,2,220.46
50475.1,96,41,71.49,5,102.56
49023.08,68,33,6.89,1,88.63
32963.07,450,50,59.33,1,149.92
58341.67,1242,60,98.91,4,256.71
46466.75,398,35,94.69,1,85.51
155009.64,42,48,10.6,3,190.12
116464.9,333,38,39.6,2,226.37
60610.03,342,46,31.55,2,155.52
32219.22,3281,62,12.97,3,182.85
26586.89,93,48,69.48,3,80.9
94384.17,272,18,27.38,5,126.07
56642.34,2221,47,34.49,3,253.26
63836.4,632,58,9.04,4,141.09
18778.68,708,39,49.8,3,42.83
81641.35,452,54,15.82,8,97.91
62939.62,561,33,43.21,2,199.34
26615.88,877,22,14.33,1,42.05
37822.57,179,43,95.38,7,170.07
56672.51,970,19,14.5,2,158.81
50455.99,102,38,52.19,6,81.74
41743.78,560,58,19.7,4,83.59
46308.53,482,18,7.64,3,104.59
42676.87,217,25,20.23,1,93.92
53311.61,394,28,5.48,5,69.39
110119.41,216,41,13.94,1,276.98
11948.22,138,37,49.35,5,71.58
43033.42,283,60,65.18,3,116.66
54018.5,133,54,8.73,2,123.22
57687.55,557,48,44.1,0,222.19
39952.52,127,43,58.12,4,161.12
18653.76,822,47,23.42,2,56.78
58711.89,123,30,37.21,3,156.91
126758.96,228,53,7.18,1,139.25
21086.25,216,27,22.01,1,91.05
78834.45,1517,52,46.68,0,189.99
40917.42,561,57,99.04,3,109.27
47394.98,326,44,99.63,1,163.13
27471.54,664,39,97.96,2,113.25
40784.16,49,47,42.31,1,115.71
100210.13,386,18,8.07,2,242.52
67538.99,2973,45,32.36,3,250.6
127105.33,460,40,23.77,2,237.99
93674.06,431,41,1.41,2,182.39
62411.05,697,51,9.52,2,210.11
127920.47,987,41,45.32,4,232.91
62407.84,54,27,33.97,3,194.83
77295.69,75,40,18.04,2,200.62
41642.89,497,42,71.61,4,143.87
50848.21,197,43,35.71,2,145.79
33403.53,1498,44,85.19,1,79.93
84480.09,294,55,24.1,2,140.91
25640.62,58,27,53.84,2,117.45
75379.65,113,44,18.41,2,170.75
44140.89,25,58,49.53,3,86.79
93356.98,319,19,15.25,2,172.55
74085.71,334,44,16.16,2,72.27
133433.08,263,34,61.22,1,239.89
73271.43,1186,37,26.38,6,128.62
20648.09,1337,30,17.24,4,142.61
47248.48,340,39,92.98,1,190.8
25729.57,47,65,4.3,0,39.73
36862.35,747,25,56.51,0,138.07
112552.57,703,26,54.83,6,162.12
69608.61,549,25,25.06,5,158.03
33375.86,1076,64,45.28,5,83.14
28069.97,125,35,8.77,2,78.07
49912.67,3007,41,72.13,4,148.47
25106.75,154,36,22.17,5,14.76
33889.92,853,29,19.34,2,115.09
58197.94,74,38,31.49,2,146.9
92542.35,159,73,90.24,5,233.69
68515.74,1837,60,79.65,2,215.14
13902.04,310,30,94.69,1,171.96
57953.82,934,50,65.2,1,212.15
51001.92,511,31,66.29,3,132.06
61552.13,363,18,48.0,3,151.4
119242.6,1577,55,90.52,2,321.16
15759.82,318,57,51.09,2,105.29
35415.08,67,55,35.51,2,126.73
67846.19,180,35,64.04,5,190.44
20539.87,700,39,54.61,1,44.7
110389.69,599,51,12.4,5,163.43
60029.79,84,47,39.27,0,160.26
78090.3,195,36,31.33,2,146.37
35809.95,225,20,84.68,5,147.39
76693.33,279,43,37.88,5,154.48
88226.21,101,56,82.16,3,201.28
55719.36,215,26,44.24,1,120.57
55766.05,194,50,75.35,2,183.82
56879.42,872,46,13.53,1,162.95
30490.18,906,51,92.47,0,148.8
45200.31,348,53,48.06,3,69.95
45076.33,272,32,25.98,0,118.71
60528.32,464,20,24.15,4,105.87
84957.24,178,35,26.51,3,135.82
27386.49,128,53,36.67,6,58.13
45763.63,157,34,71.75,6,97.57
110724.52,213,32,94.96,3,201.67
32566.08,126,18,66.9,3,100.28
31187.18,474,64,54.72,4,76.14
54790.3,836,52,44.86,4,112.05
77995.92,82,52,82.82,4,189.04
49329.83,413,54,84.97,2,148.41
101816.59,323,49,29.3,4,216.45
78530.05,567,38,95.34,4,188.95
77885.96,398,39,39.51,3,165.19
66487.16,94,36,80.01,5,173.83
176347.05,114,76,96.68,5,196.11
43790.01,415,49,70.37,5,115.33
16286.03,1128,35,16.16,4,76.93
118461.1,44,48,58.61,2,204.14
38111.27,570,28,11.88,3,117.55
52017.44,1325,61,78.91,3,187.64
100735.43,346,33,28.13,3,287.4
20307.74,699,48,69.52,3,58.02
24626.89,199,55,91.01,5,110.2
20318.7,358,47,18.1,1,31.21
31673.16,79,43,39.29,2,108.54
62429.93,38,42,64.71,2,167.35
65401.69,1035,41,41.97,4,223.55
57065.26,150,34,17.48,2,128.62
22538.47,255,36,2.91,0,54.66
13758.93,100,61,40.66,4,64.01
50508.38,98,40,64.92,2,97.59
37817.35,339,31,57.4,4,106.02
63111.75,194,35,15.62,4,126.74
72119.12,588,56,45.07,3,166.3
52893.34,634,50,36.95,0,145.57
74464.16,556,49,27.42,1,160.64
55607.1,512,38,72.93,2,164.65
65613.42,1954,49,30.97,1,184.56
33270.61,138,33,54.01,4,138.32
44409.72,381,38,92.32,6,67.14
54623.9,1252,54,53.93,2,213.98
76979.21,1428,53,61.7,3,270.02
39475.77,97,29,7.32,4,82.46
65293.12,295,30,17.81,4,107.19
42352.75,1568,43,10.1,4,149.95
45951.96,670,64,76.48,7,80.21
77360.8,490,18,83.59,0,150.48
16380.01,324,45,18.65,3,52.76
24027.16,274,24,21.93,6,29.1
21694.15,538,33,32.32,1,103.68
13582.14,313,37,59.11,4,84.08
33757.39,386,36,62.18,1,84.49
74027.26,436,35,68.68,3,181.08
41911.43,204,42,90.52,5,129.15
54654.37,686,35,29.5,1,131.43
89238.66,7437,22,65.88,3,226.39
101745.25,68,52,55.97,2,172.06
47191.74,557,51,30.58,3,126.46
103204.96,188,52,90.74,3,262.2
51568.67,718,21,9.55,3,125.37
30928.43,422,45,71.2,0,138.97
35350.92,864,50,72.79,1,78.43
21713.84,1307,28,91.53,3,157.76
30077.31,489,42,51.86,2,141.06
40259.08,1251,40,32.16,4,119.51
76265.18,38,65,82.77,4,154.88
126301.02,1979,67,77.08,4,284.94
22920.8,587,20,50.03,2,97.91
60843.19,1185,74,76.79,2,203.83
27658.84,119,30,26.79,3,91.74
63645.47,175,54,58.95,2,121.04
45610.92,466,54,86.52,6,55.76
17907.98,396,29,31.8,4,24.57
81679.91,535,48,48.35,6,95.9
35145.42,1193,40,95.1,2,207.87
36547.02,69,49,79.82,5,200.59
27218.06,1068,44,88.7,4,103.85
34205.58,406,57,38.52,1,107.8
62027.91,329,42,99.65,0,198.32
44175.06,92,39,15.26,1,116.54
58733.42,667,56,51.88,2,122.99
59817.71,36,49,47.93,2,149.12
101352.91,771,51,79.84,0,306.25
40597.74,90,33,90.86,3,121.22
21757.81,425,28,73.11,3,68.27
88165.62,358,34,62.68,3,171.72
40850.79,1299,33,42.74,0,165.74
90492.82,337,52,51.03,1,205.5
60527.76,201,54,50.93,4,164.78
45609.64,243,39,2.04,1,111.05
59386.77,1440,60,50.3,4,280.84
143351.78,689,59,85.6,3,219.91
153635.67,274,45,70.93,3,233.99
50927.57,318,31,79.57,1,187.07
53535.74,84,62,39.05,0,99.73
88603.98,594,41,52.9,6,84.45
30788.19,69,43,3.35,5,96.75
58875.99,855,37,38.3,3,229.78
48328.44,458,30,47.44,4,130.6
58258.75,4389,22,25.52,3,213.39
30997.05,134,50,3.12,2,53.0
20449.99,364,31,69.04,1,100.29
15675.58,2436,81,43.51,5,121.15
26514.28,1327,27,41.57,5,76.08
38090.82,201,25,25.0,2,92.65
41720.36,504,48,53.78,2,118.99
142269.32,404,61,43.8,2,197.63
90065.85,534,42,47.4,3,229.33
28878.42,200,49,58.09,2,109.68
59351.91,368,18,0.63,3,154.49
39187.26,81,33,90.77,7,70.59
41923.42,461,28,7.11,3,68.25
54280.98,632,18,45.09,2,117.89
68909.14,321,43,20.74,0,135.25
40676.58,80,18,52.38,5,157.41
88002.31,1084,24,28.02,3,241.44
26158.62,580,35,86.0,4,150.14
49192.01,195,31,39.64,1,90.02
204581.26,304,47,63.88,1,249.06
55419.89,89,45,24.89,4,170.81
107825.34,144,53,1.94,4,204.99
51551.47,235,51,40.42,4,106.47
67469.26,1378,56,53.65,6,219.84
47513.5,212,41,45.95,4,120.78
44635.1,765,45,96.2,4,137.02
31929.47,235,48,70.68,3,96.69
62110.22,516,43,99.57,1,196.39
30688.85,350,36,29.51,6,55.34
70690.88,965,37,78.91,4,217.25
89045.95,236,31,55.56,3,171.08
59969.55,83,47,61.18,4,176.79
41879.98,101,40,98.59,5,154.61
62923.88,237,33,65.4,2,196.2
41366.63,115,33,89.88,3,144.25
82006.26,608,26,72.58,4,120.12
17903.06,253,54,12.74,0,82.82
40758.35,4335,43,69.94,2,139.74
16400.28,70,30,48.43,5,43.7
21541.07,494,52,91.88,3,69.43
103789.93,130,34,80.68,8,188.38
80205.85,246,23,10.41,2,124.48
33000.76,464,55,13.39,5,57.29
21453.07,39,35,6.96,2,48.63
9599.91,511,36,49.32,1,126.61
36354.65,2705,42,8.08,2,140.35
185577.57,256,56,72.37,3,228.5
62266.97,523,42,55.24,0,202.26
36034.61,1124,26,83.59,5,173.29
63309.72,342,49,27.98,2,179.8
20774.32,225,35,51.91,2,13.21
41625.66,41,66,11.75,1,139.24
51777.58,765,41,88.46,5,183.19
46753.51,360,18,17.5,4,151.95
75731.04,146,46,10.24,1,118.74
59252.0,457,67,20.51,2,103.6
70797.52,225,62,80.62,5,176.91
33570.24,237,65,10.58,7,27.7
80321.97,739,28,61.44,6,169.29
120080.22,105,53,74.62,5,263.23
28750.71,1149,32,75.11,1,123.1
30084.56,99,44,19.01,4,95.54
102199.43,207,25,6.16,6,147.95
44124.07,2759,33,44.88,4,144.95
106096.23,1245,33,20.25,8,211.92
38430.45,444,53,69.93,4,156.93
109127.81,157,52,35.67,3,244.52
52697.18,237,45,44.94,2,153.81
56501.69,434,24,11.35,3,146.47
115912.97,418,37,56.76,3,162.5
40176.05,368,32,18.55,2,116.41
29213.4,391,53,67.9,6,26.36
38303.24,325,57,7.12,4,86.75
62867.44,95,55,97.59,0,182.02
20719.54,240,32,68.45,1,101.61
69606.21,1006,18,18.17,6,104.4
36449.24,102,19,1.41,8,0.0
92161.43,333,60,33.45,1,240.53
13136.59,177,36,15.28,1,40.02
31805.32,450,32,21.84,1,122.56
19388.64,273,63,87.28,4,133.72
31119.0,1767,58,60.32,0,185.42
56174.39,669,42,17.65,5,182.18
44419.12,108,38,55.67,3,136.72
42644.02,789,40,25.58,1,146.98
44911.46,185,44,97.62,1,200.26
54822.91,226,62,3.28,1,100.47
28150.07,552,47,73.23,2,46.44
72313.59,246,51,77.3,4,167.41
70577.47,985,57,6.72,4,210.91
60583.08,185,26,17.19,3,115.95
66575.6,217,51,38.43,2,203.36
57701.01,209,38,86.82,2,189.78
150135.02,229,18,53.7,2,208.75
46727.97,1210,18,65.53,0,178.1
41402.82,756,28,78.3,1,122.9
32388.54,2230,48,82.81,6,121.13
27785.11,3895,43,47.63,2,149.22
24724.27,143,44,50.88,4,48.37
30066.34,432,67,71.8,7,58.68
47151.72,124,25,26.33,1,125.15
58915.67,185,41,85.45,5,188.75
50419.24,214,45,2.08,2,134.54
32175.34,140,32,19.58,1,58.86
80426.7,140,42,80.02,2,140.47
73620.37,349,21,34.03,1,164.47
44900.02,119,60,14.98,0,124.1
34231.31,936,33,18.68,3,114.29
66279.46,161,68,53.08,7,113.14
54360.09,6698,41,84.62,3,218.66
22104.36,256,55,7.07,5,32.16
47221.8,433,41,3.05,4,99.27
56620.12,110,41,46.52,3,167.98
29886.67,2221,34,95.62,2,153.63
54416.02,1235,43,27.9,3,156.94
22023.11,542,46,95.92,6,47.82
102222.02,104,31,88.77,7,183.4
97379.65,498,40,28.31,2,232.32
42664.2,131,34,81.69,5,141.41
59868.15,1741,71,68.59,1,206.6
13023.92,906,40,51.18,4,126.01
25952.13,443,62,42.29,0,74.02
41706.89,35,39,81.55,3,138.51
27182.45,150,45,79.31,3,66.46
72614.37,802,24,75.69,1,178.85
147047.82,1356,36,99.83,2,309.4
25664.45,1223,44,47.85,4,130.13
30927.32,82,62,80.69,5,153.54
55798.18,545,44,86.25,2,190.34
118909.01,1113,59,21.16,4,335.73
25026.59,76,50,4.21,3,36.88
56216.74,400,63,40.47,3,113.13
133480.99,530,41,85.67,3,198.54
19762.32,298,73,28.91,1,39.43
24231.58,63,35,70.0,2,76.22
38832.64,291,32,0.73,1,92.41
36815.58,290,26,35.54,3,141.43
76644.31,347,72,61.55,1,201.47
55989.13,229,52,12.98,4,150.98
18467.56,259,37,89.66,4,175.12
65086.71,387,58,15.63,6,102.14
35680.29,627,50,90.98,5,84.81
98809.2,297,67,21.64,3,218.04
34711.52,267,21,99.43,3,94.22
34539.59,442,38,60.47,1,110.21
66014.02,59,35,8.43,6,101.96
74578.65,650,18,6.53,4,138.89
62721.19,403,55,7.49,3,153.78
19397.93,419,38,58.99,1,63.06
65901.66,1054,51,80.96,4,204.94
27753.87,57,72,40.3,2,95.09
55792.9,56,37,44.48,5,157.6
22402.91,530,36,58.93,6,22.57
62659.91,400,43,53.3,1,136.46
31456.8,478,54,68.81,2,107.63
24210.72,254,34,47.18,2,97.99
72591.35,783,33,71.39,2,213.73
55988.66,1025,55,99.73,4,184.05
34972.34,654,46,35.03,0,68.33
108895.98,310,18,1.22,5,176.89
38470.28,49,26,12.56,2,66.63
49894.16,870,61,55.35,5,173.7
56834.7,1368,47,34.43,3,209.39
34863.08,768,32,94.0,2,104.21
63520.94,167,39,62.74,3,177.81
36556.02,791,42,52.04,1,197.1
39089.1,953,51,79.8,0,157.04
103720.33,1917,24,25.86,3,277.17
27658.2,167,31,81.97,2,119.53
13003.46,321,45,0.31,5,3.69
118897.3,851,40,61.97,1,230.74
199213.1,427,49,93.48,4,157.32
39226.27,131,26,78.79,4,183.56
16894.43,610,46,85.36,2,142.55
41325.45,719,56,39.7,2,135.93
41880.57,440,48,82.42,2,137.92
44158.55,502,43,55.08,3,85.22
26572.62,311,40,61.85,2,93.53
67424.16,1769,31,5.89,4,270.17
65413.18,163,41,20.16,4,146.39
21548.83,224,58,55.1,3,74.03
72009.85,407,40,5.88,5,108.53
151596.36,971,30,74.14,2,296.14
53883.42,90,35,84.01,4,143.34
40719.86,108,44,92.04,1,108.71
45337.88,52,37,10.18,3,70.15
68760.95,416,48,93.97,5,135.6
18922.95,131,48,6.76,2,57.82
53659.56,274,53,47.41,1,130.89
39546.99,781,60,84.03,5,110.39
135442.67,212,54,7.03,1,213.15
44542.76,508,29,1.82,4,115.08
122680.44,299,30,2.49,2,212.86
26713.99,790,41,51.13,5,79.77
67710.23,648,36,81.16,3,255.92
58434.99,201,27,12.74,2,117.01
30394.71,340,36,12.46,1,74.9
54044.76,1145,35,56.85,4,161.29
95500.37,597,33,23.43,3,209.51
41024.08,99,37,73.02,4,90.37
19330.13,777,57,94.96,4,102.89
48549.56,136,44,76.6,0,95.25
29841.86,1656,74,87.72,1,115.16
40607.68,1123,44,51.96,6,73.93
46869.7,539,38,83.23,2,122.58
19185.14,472,42,18.29,3,104.95
20158.63,327,45,6.83,7,72.29
63903.97,795,47,65.6,1,178.06
36772.47,278,68,5.2,5,73.71
11960.81,510,31,89.25,1,76.72
75483.11,964,53,69.16,2,181.42
56942.85,230,44,95.22,4,175.61
33102.66,217,21,31.39,1,124.15
23759.63,122,52,48.62,1,77.64
77628.84,139,58,74.17,4,239.67
59405.54,64,30,24.28,5,150.52
181757.97,837,41,54.18,2,231.45
61765.72,2462,19,65.95,1,211.22
60671.95,1677,25,97.88,3,207.73
44720.61,79,55,74.47,5,159.53
76820.49,832,35,11.81,2,150.39
69133.65,1672,27,47.53,3,186.98
97582.04,255,44,58.88,5,207.13
36800.71,446,35,14.66,1,142.32
38581.41,54,35,43.2,2,154.27
37665.25,526,51,28.4,0,167.02
75730.85,139,26,11.88,3,144.63
111759.66,492,30,51.2,3,215.23
38087.36,84,44,16.56,7,71.82
38807.72,694,54,59.05,4,93.79
58264.16,1123,58,16.97,7,119.67
42823.02,184,33,72.36,5,146.78
82754.16,129,54,19.52,4,112.48
14207.46,46,31,89.63,3,111.51
31110.86,309,65,2.62,2,87.18
31877.99,225,27,52.2,2,127.39
13681.56,85,59,32.01,5,96.27
28853.85,634,33,22.51,0,113.07
29633.6,257,68,47.16,4,79.25
43887.83,137,49,84.2,4,135.16
90411.91,231,28,91.53,1,248.36
42839.53,1177,35,30.32,3,135.85
27807.26,737,52,15.42,1,84.09
47509.03,354,55,72.01,4,210.22
87294.74,749,41,58.2,5,205.93
28659.0,126,42,20.1,4,80.45
29708.36,416,51,76.03,4,74.75
66649.44,467,43,51.89,7,144.25
43397.41,252,25,65.34,1,150.53
69990.62,623,31,35.93,4,180.98
48654.24,184,45,43.91,0,131.75
72107.62,671,57,18.03,2,190.06
27742.12,700,63,75.65,2,125.85
48696.06,21,52,15.7,3,108.19
43657.07,1326,45,77.83,4,157.47
25115.99,19,51,79.8,2,137.01
20745.55,217,33,74.66,4,77.35
71479.21,1124,40,1.94,1,208.06
40415.8,293,31,27.31,4,101.72
27938.08,93,25,46.83,1,32.52
46495.07,135,46,59.55,3,155.33
91163.55,1126,44,91.92,2,268.8
13982.95,59,50,37.56,3,67.97
21522.38,1247,49,87.5,4,120.75
29507.88,381,45,16.34,6,42.55
109496.56,122,49,37.13,5,198.47
57263.74,225,41,5.23,4,130.37
