size,distance_to_center,age,price
1272,17.64,11,248421
2489,10.9,11,300808
1283,2.14,43,310196
1988,5.75,45,314284
1018,1.33,54,333151
1363,9.31,16,233323
1012,1.58,3,360523
1292,2.82,30,315130
2071,4.94,52,314942
741,6.76,58,165598
1761,4.13,51,226943
1627,14.34,29,241225
1167,8.22,51,228876
830,7.78,12,227856
1523,2.09,55,269632
1197,16.27,34,299595
1624,2.82,23,287934
1493,16.71,34,274963
2809,20.4,47,381602
1345,7.09,14,266302
982,10.2,6,182916
1590,0.57,43,262299
1616,4.32,57,220351
2549,10.71,38,283351
2067,9.46,8,338284
1707,2.11,38,354957
2657,4.03,6,322725
920,0.84,18,235025
1146,6.61,1,226740
1021,1.33,29,334454
1266,10.93,19,261022
853,11.34,5,217129
1908,3.55,18,379270
1354,7.13,38,289979
821,4.25,17,231582
986,5.87,8,223182
1678,2.22,32,339035
2069,7.66,45,250005
3290,1.57,49,418207
4748,1.38,28,431998
1747,4.55,42,288266
996,4.27,49,150247
630,5.99,40,156331
1647,3.14,31,260252
1069,18.54,3,222740
1253,5.54,17,274460
1158,5.83,19,179045
1399,5.69,23,215255
2267,9.99,57,327555
1576,7.41,12,212817
1389,6.75,32,309366
978,8.29,59,181758
757,1.38,37,293018
1218,1.42,12,323600
1448,4.7,57,239546
3002,4.31,20,392130
1559,7.43,2,325307
2193,5.02,25,356767
1212,7.44,14,339216
921,2.07,49,261479
1006,4.92,13,244898
1107,1.94,49,300998
3468,6.49,2,476041
1065,1.33,55,334192
2070,6.32,2,420231
1031,1.77,56,283844
2148,3.79,4,323810
1726,9.27,52,169554
1390,5.81,49,196697
1456,1.57,35,287512
1139,3.09,2,347164
1769,1.73,37,367741
1233,1.51,37,346486
906,5.38,33,246755
887,7.33,37,173119
1586,6.74,58,182418
2783,7.55,59,281751
1578,4.91,31,182676
1411,4.09,5,217669
1659,2.34,8,290774
2495,3.64,43,326334
1616,1.96,58,295147
1255,2.74,26,283793
2304,5.27,5,361620
1757,4.56,21,234523
2736,42.32,23,275381
1592,1.93,59,247820
907,4.54,41,221369
856,1.83,7,250791
2865,3.78,20,455795
2949,3.88,2,413784
1377,8.95,39,266628
1269,3.62,40,261748
2656,4.33,3,292333
950,3.66,20,244387
1034,1.86,54,242521
1914,3.14,49,328014
1264,3.79,34,327932
1477,5.22,29,296286
1386,7.32,59,183382
1694,4.2,43,233234
2599,4.15,57,366870
1534,1.49,4,308962
1915,7.23,12,326324
651,3.04,1,215260
1451,8.36,52,261661
1056,12.45,41,161594
909,4.34,10,223792
1041,2.42,58,266333
1295,4.9,57,239569
2135,6.32,13,331454
870,3.97,38,222791
1498,3.34,40,239200
1219,7.35,0,344736
1298,7.02,41,277598
2210,3.89,13,309777
1835,1.56,54,421881
2527,6.82,50,332137
1391,2.89,54,296455
1120,5.75,45,272231
1353,5.51,9,220436
1631,1.32,21,257581
1588,5.24,42,240947
959,7.1,19,176960
1534,7.74,42,318801
1621,5.38,20,230955
4052,1.24,10,481529
3136,12.11,31,372294
1052,6.6,41,286788
1319,2.13,31,272206
824,2.85,38,188741
1168,5.82,26,312988
1679,7.97,46,243059
2397,3.52,38,370770
1105,8.83,34,292554
1139,1.41,26,349140
627,2.39,32,235641
1387,1.17,3,315340
967,2.64,40,154142
1197,14.23,12,202193
1042,20.91,51,222361
1425,5.84,48,213346
732,3.17,31,156645
823,4.24,50,181916
3469,6.9,40,461031
884,1.66,8,247871
954,3.32,44,136952
3086,13.52,59,393352
4731,2.38,2,480583
926,2.93,14,306216
1277,5.0,35,250000
1697,6.04,24,263918
2955,3.2,38,489313
997,5.23,35,148643
1341,7.58,47,200095
2020,19.55,4,292591
1761,4.53,26,254681
1273,4.81,51,340398
1403,14.43,21,206253
854,3.37,30,150438
1345,1.96,1,304438
1330,5.9,13,268821
1624,10.52,27,258697
1185,6.38,23,233130
1787,4.63,42,240799
2219,1.8,36,463917
1575,4.75,52,241336
1703,11.74,51,232197
1512,2.09,14,381781
1480,4.17,1,263475
1109,3.78,51,210990
1680,3.04,19,242152
1423,5.89,20,239939
3419,6.76,9,360801
2777,6.71,41,325243
1727,2.5,16,318243
1090,1.56,10,302937
948,5.95,30,209403
2383,3.48,45,329808
1644,17.94,16,189986
1793,18.53,43,230968
736,19.96,27,201223
2145,2.56,24,329310
1775,7.38,21,315598
949,9.11,8,153039
1225,8.42,19,216746
1644,3.86,52,247674
1511,12.13,6,260318
1317,4.95,57,269551
1420,5.42,6,281317
1338,1.69,21,290251
1573,7.78,36,264125
2666,4.13,50,307966
530,6.86,8,206621
1346,5.84,8,262601
1588,5.62,37,240813
1666,4.8,17,246805
1275,8.59,38,189616
733,4.31,49,211544
1687,1.79,4,351307
2954,7.38,50,322346
801,2.81,2,310140
2091,1.96,53,367984
1298,2.42,58,254400
1444,6.04,40,201033
971,4.63,59,153847
1294,1.11,49,254602
2489,3.79,2,339706
1868,11.23,0,369624
2959,3.61,1,474102
2370,4.41,27,417368
1764,10.28,37,248578
2973,8.64,28,452012
1764,10.13,40,186533
2061,0.71,26,383614
1314,16.67,2,266896
1520,7.73,13,283563
1119,27.74,59,218119
2199,2.86,20,403350
923,1.44,19,261990
2024,4.98,9,328491
1371,4.08,59,224583
2364,7.83,13,314578
1998,10.51,38,316127
3066,4.66,2,448507
1982,4.18,3,382498
789,7.14,43,174050
1441,4.14,38,300379
926,3.9,40,104452
1203,10.24,13,251512
2709,11.96,59,207313
1910,10.58,33,289846
1119,4.4,58,234431
986,1.11,9,193822
1499,4.46,24,272830
909,2.91,20,258518
1131,4.52,45,231213
1677,3.1,44,236026
2349,4.88,29,346137
1888,2.39,0,464772
591,2.02,10,238055
1671,11.66,3,308495
1523,2.51,50,288576
1746,4.95,17,309237
2825,9.66,7,421064
648,9.39,21,174679
1168,8.64,4,248288
1874,6.12,58,318715
786,8.22,18,169859
2671,12.95,55,308370
1715,6.67,40,206893
2076,1.37,33,363779
1178,3.42,28,282081
2049,8.06,41,365060
2269,3.19,41,347779
1624,15.4,0,310230
1625,4.74,54,236951
1649,5.26,22,257487
1048,10.88,21,316446
1395,4.36,24,324230
1392,5.6,41,267139
1725,9.29,22,302051
2208,1.77,22,422624
969,4.06,3,184172
1408,8.85,24,258493
2677,5.19,8,396877
1099,13.83,51,247372
1065,1.64,20,307583
1605,1.52,57,347332
2075,8.49,41,334033
1487,9.08,45,268712
2518,4.33,56,334232
2085,6.56,14,360564
2072,8.34,34,363281
1847,2.8,2,469387
3755,3.02,6,484338
1363,5.66,21,242858
664,9.33,40,193509
2812,2.19,49,508298
1232,4.31,15,255000
1545,4.17,44,190261
2499,6.64,13,305471
779,4.92,0,198095
897,3.38,3,212589
780,11.87,35,151643
1077,3.4,29,299106
1764,4.04,16,249480
1825,1.63,0,467921
1653,3.01,34,217048
841,7.11,49,166573
587,6.2,4,233962
1512,7.54,44,270805
1225,7.28,38,303457
1778,21.36,28,219543
1960,2.93,2,457749
1564,1.59,55,226088
2006,2.37,28,423110
1622,3.03,23,209039
1829,2.5,51,386972
1116,5.29,50,282909
1377,11.9,43,253714
1601,14.55,49,157711
2055,7.05,7,323005
1264,22.17,45,247243
1823,3.86,19,366155
1330,1.58,52,300485
1412,10.35,22,156338
2062,1.37,3,465525
666,2.92,24,302297
881,7.13,45,186222
818,4.61,30,208685
582,4.33,45,199116
1128,2.17,2,395496
1997,4.92,10,349521
1320,10.0,33,232735
1602,5.02,23,274497
2288,2.77,40,369577
2517,2.07,57,370009
1439,2.81,39,242897
2543,6.52,25,359867
1535,6.3,32,304515
1058,2.83,54,328774
1167,1.05,40,326137
818,6.65,48,177985
1037,2.64,18,315535
1282,8.02,44,285273
2041,2.92,8,422959
2946,2.48,44,516481
851,5.51,52,154436
1732,25.8,54,194199
976,8.37,6,187362
1789,5.45,49,204164
1404,6.37,6,209784
711,1.45,28,267808
2145,2.26,40,385220
1162,0.85,29,319356
1195,16.63,20,253442
964,14.43,41,104378
1139,6.52,39,241758
1756,5.44,34,248848
1372,1.67,31,311843
1688,4.25,42,184529
1710,17.37,24,204743
2510,5.43,4,353413
1290,3.34,32,300214
819,1.45,43,239951
2268,13.02,17,313819
1296,4.72,8,255347
2311,1.45,54,370037
1725,2.59,51,308964
1404,2.03,37,303265
1701,4.52,47,216260
3230,5.73,58,353388
3397,3.48,34,407279
1521,8.53,14,291775
1578,5.23,38,307905
2276,10.42,54,225620
1055,3.86,41,174117
1691,41.75,1,305211
1465,3.34,55,242633
1678,2.63,45,238812
1060,2.41,24,191790
783,4.27,59,143390
646,1.49,43,212408
946,6.09,49,136237
1232,1.31,56,316292
1316,5.55,2,259122
3212,1.92,46,460471
2303,3.79,23,430192
1007,7.56,52,244463
1701,24.85,52,215610
1257,2.33,49,286468
1321,4.46,46,265422
1594,2.98,47,310713
1896,2.69,17,351864
1292,3.0,24,244376
2265,8.82,6,314641
937,3.52,49,169259
1484,23.92,38,309411
4184,6.63,36,453463
1618,2.44,14,306969
2626,3.83,36,387292
1535,2.83,27,317161
1867,8.67,59,257754
1447,1.57,51,353230
1382,1.94,31,304056
1083,3.27,48,154270
1758,7.99,9,199214
1052,11.74,6,282852
1931,13.02,37,214830
2284,7.18,43,371270
1714,4.67,3,293079
1320,8.64,12,287127
1775,2.22,32,300241
1308,1.36,3,359887
2152,6.72,25,352029
711,2.45,28,248535
1294,4.73,55,199513
667,5.39,18,213624
814,5.89,10,130953
2554,9.55,0,405397
2117,8.87,7,347485
1110,5.68,45,257639
811,3.63,26,100557
452,5.34,11,157222
1191,3.26,55,220780
3897,4.32,47,435599
1761,30.96,6,204173
1183,5.63,16,356824
1782,6.79,50,229994
792,3.02,41,141392
1314,10.12,56,212899
1540,8.43,4,253863
1430,8.48,46,194995
2031,5.76,4,408417
1699,10.22,20,259503
1933,12.06,45,274613
1124,6.04,42,288516
2119,4.57,0,388493
2840,9.26,12,389438
1004,2.63,46,316928
1037,3.0,7,217188
2525,4.77,19,321834
1371,1.46,11,308262
2595,8.84,6,334407
1240,2.52,50,221935
2649,3.56,3,333231
1560,4.27,32,259144
1641,5.09,41,216793
2768,3.89,3,412797
1280,4.72,38,309304
1015,4.75,20,217425
1237,3.62,50,242270
1773,2.88,47,350143
791,10.56,47,154899
1910,1.14,23,374534
1193,4.29,49,272688
2342,3.57,37,329580
568,6.64,22,248293
1080,1.79,4,317399
754,3.49,4,211965
1063,4.61,15,290025
1634,10.48,17,243820
1377,6.25,55,244119
1337,2.16,59,217445
1388,3.52,8,246570
1605,9.21,56,272833
988,2.14,42,200219
1964,4.69,29,366625
1929,4.92,57,330183
1726,3.78,42,232410
1849,32.69,35,326594
1666,3.71,12,247085
3341,6.79,14,419734
1429,2.9,54,281976
1309,7.17,12,263059
1095,9.11,1,319144
979,3.28,15,144042
899,4.77,28,232985
1037,2.65,22,312587
1439,2.22,56,311053
1692,10.23,25,330890
1510,3.36,53,220556
1089,0.91,35,263462
2121,17.04,31,282364
1989,2.83,9,403382
1388,4.17,16,293121
1140,15.62,52,199541
1843,4.49,46,288455
1595,4.42,26,201747
829,2.1,54,178035
1440,1.58,49,274193
1643,4.41,6,255569
1032,6.39,36,338475
1597,6.13,47,175681
827,3.54,48,192745
2526,5.02,5,312414
2438,1.37,13,398468
1338,6.84,24,238977
1711,5.55,15,299344
564,19.72,6,219109
932,4.98,37,195702
1316,2.56,30,364686
964,4.78,9,228884
1969,3.94,35,392917
3290,6.71,3,458360
924,5.05,22,236168
1058,2.05,47,260806
1626,1.58,53,256952
2819,5.95,14,512833
907,13.04,51,118736
1635,5.24,53,223427
3067,8.75,36,357875
764,10.06,58,127857
886,5.97,14,162219
1249,2.8,4,314528
1202,5.68,50,251395
2048,11.53,29,295559
1630,7.18,20,221741
727,8.36,3,199992
1819,3.58,3,411173
1174,4.3,5,324801
2464,4.56,11,387724
1151,4.78,58,177439
1147,11.22,16,285197
1838,0.96,49,440440
2008,5.06,1,305553
1770,4.68,19,301142
754,1.9,54,238558
1835,7.93,11,327568
978,2.98,17,254034
1626,3.86,49,256843
837,18.07,7,223988
1769,10.04,3,312028
1072,7.4,57,182736
886,6.47,24,175350
1969,4.41,39,343555
1630,20.08,7,299744
1157,8.68,13,156355
2645,2.93,27,366788
1241,1.86,40,231940
1499,7.37,17,207963
1648,4.76,53,277457
1155,1.82,46,269788
1787,6.69,33,171319
1195,4.1,27,253979
1255,7.18,37,337362
2553,6.75,43,251345
976,3.24,8,220251
563,7.71,51,239572
2819,3.5,29,428121
4104,3.66,56,483264
1258,3.41,57,214927
682,10.93,1,264945
1307,4.07,23,305977
1320,12.95,31,238763
1372,17.26,32,183486
948,2.95,49,191934
1866,0.64,8,300920
1825,10.29,37,297577
814,3.9,56,198023
1957,2.7,59,373010
3364,3.28,0,455336
1585,3.7,58,291588
1293,12.28,7,251316
1398,5.54,32,238923
1893,12.16,14,280594
740,7.0,36,277805
1580,3.99,2,313642
1266,3.77,14,245183
3099,7.34,18,428310
1380,8.8,54,257608
2884,9.95,35,413998
951,4.12,42,160637
1872,5.6,40,319569
1682,7.45,23,317725
1045,3.79,0,320057
1589,2.24,6,294437
2404,2.82,27,423022
1300,4.18,56,240325
752,7.87,14,213094
1469,11.96,41,229637
1031,1.92,49,209810
1290,3.26,54,124197
1432,3.86,17,268611
748,8.64,55,147591
775,3.42,36,137708
1795,3.67,30,228763
1201,1.84,46,325136
530,6.95,14,213597
2026,4.42,48,349326
1650,3.13,38,277217
1112,4.13,47,205084
874,10.9,51,189508
2067,2.45,37,412258
1702,2.75,2,335535
3839,11.9,17,367235
1751,5.22,52,270113
1728,7.92,37,231520
1384,6.56,53,281339
2052,4.83,23,361473
1900,3.88,30,340085
2442,8.86,51,378186
1201,11.17,45,170815
1243,10.58,22,222512
1222,2.16,1,314074
2031,12.35,52,268607
2695,3.86,47,364931
1232,2.92,26,272645
1248,4.4,32,385608
1678,8.86,12,234815
1341,7.23,24,273705
2166,4.14,9,340102
601,8.9,12,201753
1063,5.46,50,209888
1082,3.32,21,300566
585,3.02,48,147550
1006,6.6,28,192780
1026,4.68,4,247364
1365,1.89,21,364921
2310,8.96,9,387517
1342,3.54,41,163725
980,15.1,54,190921
1446,1.86,45,214686
2252,4.36,46,318965
1001,3.03,51,194105
1028,2.5,46,323849
1850,3.52,34,361077
1354,17.11,42,257224
1917,5.48,24,328780
1472,2.85,4,332729
1959,1.38,42,313028
978,1.48,43,190841
1473,3.4,13,296044
1360,3.18,57,253956
910,4.23,3,233964
792,1.01,44,277960
1947,4.65,58,270594
1286,10.17,18,267365
983,15.42,54,115192
1424,1.32,49,346159
2324,2.83,44,390690
594,2.72,57,266651
813,5.48,39,173337
1023,2.11,29,392919
2655,16.08,40,330945
1657,5.11,24,276354
2012,4.54,19,384659
938,15.1,4,198528
945,4.9,22,151797
1770,6.55,48,270240
1515,2.93,56,255066
1843,1.9,58,419788
1373,3.23,12,299818
1654,22.89,34,248938
1576,7.71,34,266813
2020,6.0,10,377592
2044,2.5,34,400433
774,9.37,21,184630
602,1.91,56,172448
2209,1.65,15,426438
2380,3.35,50,333924
984,19.46,53,264715
703,18.7,44,156355
1540,3.61,12,271477
2148,3.09,15,352369
3038,1.57,58,484728
1819,5.23,4,333258
1275,5.55,7,257065
1035,8.61,58,271451
1487,9.37,46,227354
1313,4.31,44,270027
986,7.31,9,203675
3359,3.03,29,445271
3023,7.21,50,453743
2331,3.47,19,331360
1024,6.83,11,204829
2083,6.46,0,359879
1911,5.2,37,308628
1766,8.64,17,179222
2440,1.65,51,365946
1908,2.35,17,397563
1990,4.1,9,378788
1909,1.8,57,326706
1696,3.73,57,243363
725,3.81,41,222867
1530,12.39,55,198163
1185,5.47,9,280376
887,10.18,27,240713
2900,6.12,12,359228
2956,3.4,28,440360
2549,5.44,47,364189
1639,8.25,50,226672
2540,11.42,0,357696
1487,4.51,23,284100
1605,1.56,59,357235
955,1.49,35,272133
1735,3.94,17,330396
1516,0.96,23,321400
879,17.4,19,128023
1450,7.52,26,236021
1433,3.17,26,298697
3038,2.28,30,517950
2116,10.17,27,263197
1487,2.27,30,378563
1635,2.43,1,326549
1506,2.9,3,357555
1364,5.36,22,276502
960,7.65,53,129442
1393,11.41,47,215801
1098,10.29,6,330452
897,4.96,29,164953
1816,10.12,36,298755
1731,3.1,28,216133
724,1.38,41,194557
1409,3.1,59,186257
2204,2.82,5,425760
2261,3.18,30,306887
2231,2.53,30,438164
1503,3.59,33,239809
1055,7.64,10,264863
959,16.46,38,195632
1699,1.48,2,278558
1722,2.01,44,297738
2477,2.85,39,403296
2298,8.47,19,383320
1404,4.29,59,203538
899,2.98,49,198953
1302,8.18,32,285062
1614,9.67,59,293670
1365,4.89,49,217484
1174,2.8,8,263062
1637,5.98,35,247964
1210,4.21,34,221493
1151,4.18,39,275115
1676,3.46,56,198966
1260,9.46,29,296970
1632,5.9,4,298079
1651,10.23,28,278155
938,12.62,47,67914
1221,6.83,21,193190
2630,3.47,1,419121
929,10.26,18,152658
634,6.86,40,124277
702,30.64,5,172297
1497,6.15,22,269209
1498,8.07,7,253995
1412,6.07,28,277784
2405,4.62,8,352635
508,4.13,6,210645
1734,6.09,41,291238
2764,7.13,9,339461
942,11.11,9,178343
1271,6.15,35,290506
1095,3.58,2,311001
1035,3.94,1,255691
1299,1.96,25,306499
2620,15.84,21,291652
3086,3.39,32,407700
1294,9.75,59,219511
3171,6.01,26,377124
1501,6.13,34,150454
2985,4.56,55,395785
1426,2.85,28,314836
1559,2.51,46,248374
1713,16.61,32,292359
5279,5.36,38,390225
2080,10.89,55,289676
1115,13.06,0,285909
2181,3.72,54,402700
1280,6.66,29,280513
1216,5.11,36,205041
2129,2.2,27,430065
1498,4.35,15,324508
1654,7.47,3,222655
1488,3.49,56,264286
1693,3.95,37,292691
1754,4.39,52,231912
682,21.72,17,87965
1932,1.37,16,378753
999,7.04,20,177919
831,4.15,13,258131
1446,3.16,29,256633
1530,4.08,56,224332
1121,7.9,52,217712
2064,8.22,29,352378
865,5.64,20,202160
1257,10.64,36,209982
1171,12.04,36,250032
1452,8.77,41,218824
1654,3.38,32,161494
989,7.0,1,255384
1977,7.02,4,391780
1518,2.8,58,297590
694,1.65,44,213186
676,1.2,56,227261
1473,5.2,20,291132
1355,6.1,32,235991
1420,2.17,19,342666
1463,10.3,54,163955
1620,5.51,17,266390
2162,12.74,41,255978
949,6.42,10,238102
926,2.35,6,215080
955,6.83,9,169227
1661,7.92,31,207009
2435,3.38,50,298464
1245,1.8,59,299705
544,5.31,37,131681
748,2.46,32,233169
1060,10.85,47,243210
1184,3.72,3,286090
1257,16.56,48,222857
1503,1.12,45,232768
1306,5.44,31,256198
2252,13.47,1,306090
1129,2.66,12,303778
1048,4.43,22,265806
1792,3.74,56,228253
800,3.07,38,182670
1729,5.88,30,220488
1542,2.0,29,347029
1395,4.58,46,193386
2794,7.11,19,346001
1154,4.26,5,328901
3374,2.46,40,501854
1352,10.19,19,259355
888,8.26,19,209490
1522,2.39,27,305144
962,2.0,14,215748
1095,2.54,55,280354
1735,7.26,50,261845
1848,6.01,59,334809
1154,8.61,57,269971
2197,3.94,18,386347
2351,2.59,22,383978
2629,9.42,41,327290
1829,3.36,0,297835
2553,5.64,59,405735
697,1.67,0,264273
1303,3.32,31,284764
1046,10.04,40,204247
1552,3.0,54,223365
1177,8.76,38,250993
1385,0.97,35,262685
3142,3.35,18,335751
1383,4.39,35,304068
1746,16.77,44,240736
1348,2.19,30,275197
1525,7.92,46,257172
1483,10.38,4,301309
1771,2.99,20,283665
2359,3.81,57,335650
2861,5.47,19,468258
1675,1.76,37,255342
1873,3.6,31,360269
934,12.1,56,173846
1429,7.14,9,331457
2156,4.44,17,361167
2093,5.36,51,304386
1611,7.44,39,248782
2110,8.51,32,416888
1801,3.36,23,326515
2392,14.5,24,297273
1661,12.45,56,210941
1283,7.96,40,281087
1693,2.75,55,332965
458,2.43,58,229138
1725,3.94,32,244543
343,5.17,36,183636
742,1.44,39,184364
1773,7.0,50,243821
1791,12.2,39,243055
929,7.42,6,168986
1113,3.09,56,170277
2561,2.84,39,397838
1219,6.11,52,252639
3630,4.45,25,444996
1479,6.75,28,222382
1742,7.55,41,255077
2826,10.64,46,338213
1559,2.24,4,372850
991,5.78,24,162956
1416,3.84,46,283707
1459,4.62,59,297379
857,9.07,0,234410
1336,9.79,15,275339
1100,13.18,27,269787
2142,6.67,13,301023
1500,4.59,1,271521
1321,4.15,32,267000
1418,1.47,38,387021
1618,12.65,24,194547
1894,3.95,22,402233
992,7.06,59,172657
975,7.97,28,198691
2302,2.07,47,416285
1255,2.6,17,386815
839,14.63,49,176068
1767,6.07,49,284260
1781,3.3,16,225028
802,4.53,39,179880
1622,10.59,40,168606
1986,9.53,26,320407
1719,1.77,46,311478
1906,15.55,18,283061
844,9.74,29,265629
1689,4.45,59,318079
1311,2.15,10,304812
1220,10.36,8,214171
2096,6.91,8,384081
2675,1.79,59,418040
3034,4.21,9,446767
2504,44.18,11,301811
1416,5.01,41,260867
1704,2.95,45,252427
2011,2.45,31,343694
1553,17.12,58,218065
1559,8.97,2,282365
2058,13.27,37,285523
1445,5.89,36,255013
1105,11.92,19,175275
1254,2.74,53,209736
1907,5.55,33,368022
1482,6.06,14,234813
1696,13.04,5,231179
1935,6.19,6,318796
1274,3.2,53,205304
2003,5.18,15,304285
1722,1.53,54,328753
903,0.98,7,240912
2635,8.86,59,344121
1211,3.81,50,269225
763,4.12,6,212029
974,8.86,5,230477
983,13.17,48,160543
1511,7.2,4,341824
1326,19.1,15,271289
1293,7.04,48,276344
1896,6.12,54,284336
1695,5.86,46,250003
1679,2.01,53,220269
1743,9.67,33,313238
1894,0.89,46,346313
637,3.29,20,181581
1279,5.03,47,188040
618,2.85,40,228621
1501,3.61,34,249806
1477,17.95,59,289262
2248,10.73,28,307650
2380,3.06,37,320443
1605,3.57,30,196683
1211,2.03,15,223220
1797,8.11,19,221002
1198,4.16,58,189413
1479,1.25,23,323247
2196,5.32,40,314492
1184,6.73,34,260658
2043,9.72,53,283940
1941,4.71,45,325777
1010,3.82,4,236024
2185,19.89,21,271644
1957,4.98,42,351549
1541,8.2,9,246113
1091,3.4,30,276858
1049,8.03,19,184879
1193,1.79,3,261830
1839,3.58,59,332435
1010,2.13,55,329786
1763,3.24,44,230947
900,11.89,12,261517
1364,3.23,59,185150
1546,8.19,37,234160
3936,14.33,57,350323
853,4.86,2,247646
2667,9.93,10,317811
1571,7.18,40,199747
1744,5.37,54,263569
1552,8.37,10,265063
1768,17.96,19,226904
1392,3.17,35,278954
2648,2.53,59,364818
1233,2.43,47,284689
2328,9.94,55,313290
1143,10.92,40,188799
1445,3.4,52,204935
964,1.11,30,230023
1775,3.09,7,261218
2638,7.27,42,248891
1435,4.73,36,295900
1368,5.62,29,260700
947,3.43,16,159526
1350,10.07,47,281430
782,6.3,49,181588
1027,7.47,21,209264
1620,5.54,55,299725
2508,7.15,22,391484
4553,6.83,6,395466
1170,2.59,9,297726
2628,6.43,29,322611
1631,8.62,4,218200
1393,11.12,43,232338
1759,6.63,47,272115
1517,2.52,32,334961
1547,2.81,53,291244
1257,3.65,57,275802
846,5.66,26,156856
798,4.55,5,269094
1922,2.26,13,360660
1325,2.25,39,284881
1166,1.14,24,288141
1485,0.56,41,265370
2034,4.52,40,312676
1591,25.13,36,231205
1138,17.42,9,244926
2417,2.5,17,358889
2784,5.5,22,346330
1804,1.78,49,328563
2185,1.98,40,397834
2432,2.14,38,417362
2326,4.23,40,319780
1892,4.36,30,315311
1880,5.91,2,381823
1822,7.88,12,306269
954,3.91,8,201312
1959,5.08,3,364231
860,2.3,19,349936
1077,1.93,47,243372
2493,1.73,6,288642
2071,7.8,6,315771
2683,3.91,7,274809
1327,1.34,16,282385
933,4.74,12,150691
1344,2.07,0,305628
1541,15.84,16,199533
1527,3.3,59,276592
2329,7.98,20,338155
1281,10.62,12,280867
1704,2.54,29,311538
996,5.22,13,235286
1772,7.3,33,248518
1482,5.37,24,320592
1096,6.38,53,257896
1347,1.95,55,260366
1375,7.3,42,263527
1328,3.52,12,261029
3006,6.33,28,422304
1423,9.43,18,263648
1342,7.91,47,268547
639,6.32,1,149534
1035,7.76,39,246664
1332,8.02,19,285941
1125,14.11,28,249432
2572,4.84,19,297197
1385,5.56,21,170025
2478,9.51,40,384635
1517,3.51,35,252890
1502,1.95,14,367533
1428,7.0,2,320208
1482,4.29,51,209842
2943,2.13,29,384945
585,7.03,37,182438
664,13.49,29,178584
1191,1.58,37,327125
1488,10.13,37,197786
1950,0.84,0,426764
1788,3.74,31,266750
1269,17.96,30,277466
2225,3.94,5,328341
2235,5.27,44,336824
1593,8.45,14,270960
2175,1.49,3,453272
1650,5.21,48,208843
1182,5.18,51,123307
1956,18.24,14,265999
1547,2.09,41,281223
1481,3.79,0,246014
2668,2.59,43,312693
555,2.4,27,228161
839,10.9,47,155634
920,5.05,23,203626
1280,3.36,21,173158
1336,3.45,50,173365
810,3.34,2,272923
998,3.55,11,192794
1049,2.04,24,309907
3955,4.13,35,379336
3043,3.85,0,459832
1255,2.91,34,295724
1279,5.52,22,236495
934,5.86,37,144450
690,3.35,54,146997
1412,4.48,26,334936
993,22.44,33,166720
1430,21.85,27,270005
780,2.37,7,242536
1091,2.61,47,278139
1570,2.36,53,265831
1713,10.38,48,271134
1749,3.75,56,254176
872,5.86,28,169994
