mileage,age,engine,horsepower,num_previous_owners,price
67490,5,2.0,200,2,15120
30842,2,2.5,117,1,29084
38019,1,2.6,171,0,24062
37525,2,2.1,124,0,12051
21224,4,2.7,129,1,21276
68932,7,2.5,86,2,11791
35292,7,2.8,137,1,17293
49451,6,2.7,174,2,15475
68632,2,3.1,147,2,19648
67008,4,1.9,100,1,15337
78101,3,1.1,81,0,17837
45755,3,2.5,245,0,26228
36449,15,2.5,164,3,16108
46360,1,3.1,112,2,23961
15045,3,2.9,170,1,28921
17801,9,3.4,248,2,22684
19421,1,2.4,177,0,29796
24389,3,2.2,60,2,16477
64850,3,1.0,269,2,17620
26008,3,2.2,66,3,17027
37619,1,1.6,140,1,22267
121717,6,2.1,98,1,9933
38200,6,2.0,116,0,14720
82146,6,2.3,162,0,14238
25500,2,1.9,60,2,10006
42454,4,2.7,145,1,22472
25209,2,1.0,201,0,20736
38664,3,2.1,112,1,18980
88275,16,2.8,87,2,4794
14630,4,3.3,143,0,19870
66442,2,2.5,134,0,27272
57896,4,3.2,123,3,20722
32341,1,2.1,96,2,23165
17814,2,2.0,173,2,23177
51559,2,2.4,176,1,18295
33838,3,2.0,102,0,11806
57691,7,1.5,108,0,13084
49776,6,1.6,156,2,14086
150428,6,1.2,106,0,4806
41458,2,2.4,158,1,16962
23945,3,2.0,216,0,21925
55575,5,1.7,147,0,15854
57182,3,1.6,95,2,18814
126935,3,2.4,167,0,10742
87954,5,2.5,142,0,16866
62931,3,1.2,143,1,18011
136531,5,1.1,171,3,11318
21329,11,2.7,181,2,11880
31325,4,1.0,151,1,9852
25626,9,2.4,147,1,14817
37314,6,3.1,242,1,21682
18700,1,3.1,204,2,26226
76466,2,2.5,187,1,20839
41958,2,2.5,155,1,22213
17508,2,3.6,104,1,24332
24078,4,1.0,200,1,19238
61050,6,1.7,156,2,8466
88140,9,2.6,124,1,10836
198334,5,1.8,139,1,9493
376888,3,2.9,106,3,6705
65518,1,2.0,197,0,23903
24521,4,2.1,180,1,17066
11021,4,1.8,158,2,20728
59124,5,1.6,148,2,13000
27748,15,1.6,119,2,6523
36652,9,2.2,60,3,7645
31937,7,1.5,86,1,11408
44420,2,2.7,116,0,27410
103382,3,2.5,109,4,9396
54717,4,2.8,163,4,22364
43868,2,1.2,186,3,16589
23742,6,1.0,144,0,12539
15179,5,2.0,213,3,16799
34877,2,4.0,114,0,25784
47209,9,2.9,143,4,16722
168982,4,1.6,147,1,8935
53701,1,2.3,199,2,21484
97530,4,2.5,154,2,21309
34561,5,1.0,156,0,6583
21387,8,3.0,75,3,16526
24944,3,1.9,109,1,19614
29505,7,1.9,199,1,15095
217494,5,2.0,60,1,4686
27585,2,2.8,210,0,26555
88162,1,1.5,172,1,16582
26054,8,1.0,116,1,14584
94098,9,2.2,112,3,10103
64181,5,1.0,235,3,14167
43930,10,1.8,213,0,12652
47641,8,2.8,144,1,21087
30997,6,2.4,156,2,19970
66986,2,2.7,120,3,22624
35650,12,2.4,156,2,11206
20786,6,3.7,119,1,19053
20039,3,1.6,146,1,24134
55315,3,2.3,231,1,18265
148058,5,1.7,145,1,7506
54830,1,2.7,102,1,25442
45114,6,2.0,88,3,13790
59878,2,3.2,155,2,15713
122296,5,1.6,115,4,7441
57157,3,3.0,161,0,23378
36766,3,2.4,77,3,17670
106340,2,2.0,181,1,13001
66179,4,2.4,102,2,12039
143634,13,2.2,152,1,4359
55729,10,2.2,134,2,6503
20803,5,1.9,227,2,18157
18812,4,1.5,157,3,21646
155694,7,1.8,237,1,8058
163826,8,1.0,175,0,6111
43232,2,2.6,214,0,22774
37487,4,1.1,140,2,20824
136354,1,1.8,165,2,14385
22585,8,2.5,204,2,21585
26204,15,2.6,190,1,19142
76905,4,1.0,173,4,17230
37189,1,1.9,135,1,22128
48845,6,2.3,142,1,14797
43721,2,2.0,201,1,24250
62087,3,2.9,210,2,23866
131299,6,1.4,123,2,5817
52229,5,1.0,116,2,15896
76938,3,2.6,109,1,19930
11671,3,1.6,187,1,18773
47377,4,1.0,108,4,15221
27166,3,1.9,186,0,18751
20885,2,2.9,174,2,23807
26510,3,1.1,125,0,21293
38797,5,3.6,220,1,18162
93072,4,1.4,84,3,10417
19370,1,2.1,224,2,29428
50083,8,1.1,164,1,15624
34929,0,2.0,60,0,19350
38973,3,1.9,221,1,27603
98906,3,1.0,193,4,6551
71444,4,4.0,130,0,23892
125013,6,1.7,106,2,13303
43995,8,1.7,79,0,15822
30116,2,2.7,258,1,30044
41910,6,3.3,108,0,15991
58089,5,2.8,93,2,19360
55470,1,1.2,162,2,19783
22946,14,2.1,76,1,6415
52226,1,1.0,105,2,18204
57512,5,2.6,194,1,21295
285566,5,1.0,170,1,10270
182369,5,1.4,132,1,5413
26976,3,2.0,150,0,17547
40087,7,2.3,130,1,12371
17598,1,1.8,147,2,23291
32419,4,3.1,115,1,19084
61140,3,2.5,123,5,17401
114016,2,2.5,122,0,13549
29426,5,1.1,117,0,11455
31011,8,3.2,196,2,21197
10904,3,1.4,184,2,17675
43745,7,3.2,108,0,12065
23302,4,3.4,96,2,16165
33839,2,2.4,142,0,19215
26534,3,2.7,246,1,24912
45890,3,1.0,103,1,12998
14322,2,1.9,142,0,26656
17554,5,2.8,153,3,22661
217612,5,2.6,145,3,9203
19906,1,1.1,129,1,22953
22748,1,1.8,201,3,21867
177342,5,1.0,170,0,2465
374574,2,2.3,188,0,9716
21588,5,1.0,176,1,16408
37881,7,2.8,190,0,15756
62260,2,2.8,221,1,26196
164405,1,1.7,209,3,10112
24567,12,2.4,254,1,12815
41287,5,1.8,204,2,20863
84468,3,2.2,119,2,18541
66458,2,1.2,188,2,16196
37672,3,2.4,181,1,19872
44637,2,1.0,236,1,19229
18724,7,1.0,106,3,11651
41492,2,1.9,175,2,16448
40681,8,1.9,119,1,15837
57671,3,2.2,173,0,25093
33232,2,1.5,140,1,23075
68191,3,3.3,171,1,26102
99598,0,2.1,86,1,6062
54655,4,2.2,185,0,15888
62707,4,2.1,159,0,22430
50879,7,2.7,156,2,22228
49023,1,2.4,237,0,26494
29581,8,2.3,132,2,12696
61178,7,2.5,165,2,21830
45793,9,1.0,154,0,15503
212185,4,1.0,158,2,10583
147465,8,1.9,249,4,6828
64221,1,1.9,152,1,23418
28734,6,2.4,124,2,17656
22500,2,2.0,234,2,21838
112848,1,2.4,136,1,15950
58919,2,1.1,77,0,15400
68603,4,2.0,116,1,18745
14454,2,1.1,93,3,20296
93826,5,2.3,69,3,6395
67379,1,1.0,133,1,18070
22532,1,2.2,146,0,21184
35239,10,1.0,203,3,8648
58959,7,1.7,178,1,12314
50854,2,2.6,176,2,24607
39953,4,2.2,109,1,17859
45595,8,1.0,189,2,15304
41093,5,1.5,212,2,10562
54545,4,1.0,167,2,18653
137316,8,1.0,169,0,13912
8130,2,2.1,93,5,17886
41531,4,2.4,197,0,20985
55467,4,2.3,230,3,22563
60306,3,2.4,164,4,19598
37784,3,2.0,123,2,18497
14332,4,1.8,142,2,21754
61672,4,1.2,131,4,17572
164250,2,1.7,133,1,7392
16752,7,1.1,179,3,13369
89740,2,1.4,162,3,16026
38949,3,2.1,195,2,19040
46961,3,1.9,166,0,20063
23458,5,4.1,111,2,17097
38788,1,1.1,127,0,22232
121787,7,1.9,124,1,15592
73707,2,1.0,141,1,17291
164821,9,1.7,230,2,12228
111768,3,1.8,237,0,14021
66660,4,2.6,187,0,28115
166167,14,1.7,155,2,1500
66655,3,1.9,88,2,14908
87517,9,1.7,159,0,17075
39830,4,1.0,114,3,13450
51358,5,1.5,223,1,16052
30085,4,1.7,77,1,14169
97998,7,2.1,167,1,15678
21486,2,2.4,110,0,22058
84765,2,1.8,149,1,16902
42896,3,1.8,179,1,17910
111287,4,1.0,195,0,15333
82918,3,2.4,147,1,15153
175334,6,1.5,184,2,3943
81759,9,2.5,120,1,13877
16310,2,2.9,161,3,26094
46776,2,1.9,195,2,17837
21581,1,1.3,164,0,21649
34105,15,2.0,126,0,5339
141189,5,2.2,137,0,15807
76593,5,1.8,195,3,14371
30053,2,1.6,100,4,16675
24110,4,2.4,107,1,18681
50158,6,2.3,177,0,17316
20918,3,1.8,130,1,16070
30644,8,1.0,84,0,9618
60986,17,2.3,210,0,10455
110053,2,1.5,100,1,9563
75066,2,2.2,141,3,21045
9858,2,2.1,122,1,22243
60661,11,1.0,136,0,5829
51555,8,2.1,110,4,11018
65494,4,2.4,182,0,20258
151956,4,2.4,154,3,8742
11564,2,2.1,194,0,23281
32410,7,1.0,122,1,14569
74134,3,2.9,245,0,24550
16201,3,2.3,64,2,17055
137745,6,1.2,78,1,10295
63439,4,1.4,228,2,19512
88663,3,2.2,171,0,19827
32870,4,2.5,165,4,24039
86650,7,1.7,169,0,9168
103562,12,2.6,175,2,10970
57700,6,1.0,163,0,12620
57761,7,1.3,106,0,9183
59233,3,1.0,186,0,16607
26786,2,1.4,179,0,17618
44211,6,3.1,214,2,19183
44056,4,3.4,229,0,24352
64111,1,2.2,164,2,21385
98703,3,1.6,94,1,15436
23365,4,1.8,229,0,17556
44913,3,2.3,104,0,20962
138277,10,1.0,165,2,3904
29128,5,1.6,138,0,14045
27568,10,3.0,130,0,8854
56478,5,1.3,184,2,14926
88527,4,1.5,161,3,11227
49414,2,2.0,173,2,20759
124277,4,2.2,113,4,15743
89299,4,1.6,142,1,12552
88368,1,2.1,115,2,19370
72249,3,2.4,141,3,17793
250035,3,3.4,144,1,4584
42462,5,1.9,232,1,14947
12058,5,2.0,138,1,18085
150689,3,3.1,60,0,8302
35582,5,1.6,212,2,11908
52866,4,1.1,170,2,16679
122600,0,2.2,144,0,15878
15969,3,2.8,130,0,27896
20411,8,2.3,107,2,11677
15980,1,1.9,237,3,27206
28116,4,1.0,152,3,18741
66685,11,2.0,71,0,10261
70751,2,2.9,164,4,22648
59479,4,1.1,204,0,19403
18234,2,1.8,157,1,21973
9729,11,1.7,109,2,10950
50921,4,1.5,105,3,14740
35233,4,2.2,108,0,21020
67613,10,2.3,218,3,7213
80126,6,2.3,146,0,10619
54001,2,1.3,74,1,15129
83457,3,1.0,167,0,15684
57552,6,2.2,156,2,15823
71043,3,1.6,129,1,22592
29933,1,3.3,104,1,25314
43229,4,3.3,102,5,16765
56260,1,3.4,198,2,26077
87061,11,1.3,161,0,4531
37211,4,2.4,171,2,19929
70602,2,2.6,161,1,21162
40697,2,2.5,164,2,21981
45148,1,1.8,128,5,22396
87611,2,2.9,140,2,18649
12147,8,2.0,202,0,16927
19780,17,2.1,213,4,10540
17369,6,1.0,95,2,7267
9570,4,2.5,140,1,25552
30491,3,1.8,187,1,24729
82834,2,2.3,234,3,14053
40158,15,2.2,230,0,9259
56300,4,2.1,114,1,16786
105077,15,2.0,207,0,11013
124166,10,2.6,152,3,13821
46704,1,1.9,196,2,23500
126438,3,1.0,185,0,6835
52286,2,2.4,93,0,17734
27277,4,1.4,174,1,22693
32335,4,1.1,195,1,18072
17389,27,1.3,149,0,11321
26325,2,2.2,138,4,16241
38154,5,1.9,79,1,9505
86035,6,1.0,180,3,11894
163495,4,1.7,159,2,11904
18628,4,2.8,108,1,19756
64536,2,1.7,135,1,15723
23661,4,1.9,156,1,17255
68342,6,2.7,124,1,20590
44722,5,2.6,150,0,17622
13607,6,2.7,71,0,20633
93883,10,1.0,210,2,4845
32096,7,3.2,150,0,19677
33734,4,2.4,100,2,17739
23182,2,3.7,60,2,19980
31008,3,1.5,196,1,20832
66139,3,1.0,175,1,19067
42938,5,2.0,159,1,16312
61701,3,1.8,188,2,18615
63154,2,2.5,188,5,20061
123557,2,2.8,158,2,18441
38563,1,1.9,138,2,19533
17434,3,1.8,131,2,23347
103471,1,2.4,168,0,12827
38869,2,1.8,212,1,23385
106960,3,1.8,145,0,15309
64110,2,2.7,216,1,24636
44721,5,2.9,166,1,18311
62576,6,2.8,167,0,18936
192087,3,1.9,258,1,9191
209795,3,1.0,224,0,7024
51460,6,1.9,225,1,17650
54837,2,1.5,114,0,17370
104127,2,1.9,248,1,18826
27120,9,1.5,146,2,13378
61892,7,2.0,139,2,12119
48141,6,1.3,60,3,11376
61067,7,1.1,164,0,16036
27354,1,2.9,101,2,27061
16111,10,1.3,168,1,16359
11486,5,2.0,97,0,17275
22422,8,2.7,230,3,19679
35558,5,2.6,174,1,15464
39925,4,2.6,252,0,24215
190243,3,2.2,103,3,3611
106318,5,2.5,219,1,15117
24997,3,3.0,68,2,15577
62529,7,2.3,159,0,15934
36866,1,1.0,121,0,21571
40172,3,1.6,129,3,16753
55811,15,2.5,126,1,16021
75615,3,1.6,108,1,19781
38658,3,3.1,93,1,24663
103228,2,2.0,130,0,15833
22040,5,2.1,155,0,22185
49238,2,2.8,202,4,23389
302057,4,1.9,163,1,10240
57305,7,2.1,202,3,15714
133686,2,2.6,83,0,16923
52264,7,1.0,130,2,9166
73610,7,1.8,181,1,20049
47110,8,2.6,165,1,19525
43508,4,2.0,111,0,18897
28406,31,3.0,192,1,13740
66251,8,1.0,126,1,9470
27008,5,1.0,115,0,11752
78112,2,2.5,171,4,23887
104788,4,2.6,150,1,18245
63358,10,1.9,126,0,13811
40119,12,2.3,124,1,8287
67357,10,2.5,101,3,8859
39494,7,1.4,132,1,13594
94360,2,1.5,199,2,12667
13602,6,2.1,161,1,18800
38757,2,2.6,193,2,23667
12166,1,1.2,173,3,26197
17213,5,1.9,122,1,17397
127351,6,1.8,75,2,7073
91732,7,2.3,108,2,6407
29624,6,2.0,119,4,14254
17124,6,1.6,116,2,14415
6153,2,2.9,194,3,24999
33508,4,1.6,193,2,21919
266809,1,1.8,249,0,17105
66464,1,1.0,115,3,18578
33133,6,1.5,221,0,17287
67884,2,2.4,221,1,21615
16437,7,2.2,139,0,16531
39810,8,2.4,171,2,13740
52555,3,2.4,205,2,18773
46153,6,3.5,147,1,21686
85268,3,1.5,143,2,14069
62395,1,1.0,121,2,21528
78262,4,1.3,60,1,14509
30276,3,1.5,153,2,17172
91901,3,1.3,118,0,11234
153315,14,2.1,101,0,1500
24857,1,2.9,168,1,26723
26333,5,3.1,84,0,17603
124872,2,2.4,186,4,12246
42875,7,3.5,171,2,19395
130963,5,1.8,131,2,13053
35962,5,1.0,147,0,12823
135744,2,2.7,96,0,16103
53746,2,1.0,183,1,19084
58733,7,1.5,158,1,17946
146576,12,2.4,161,2,8246
38053,5,1.9,172,0,13805
25367,2,1.9,121,1,18809
35810,5,1.2,81,0,13822
67281,19,2.0,193,5,11081
16382,4,2.7,180,1,30033
76590,10,2.0,125,3,8511
33619,2,1.4,168,2,20390
109476,4,1.1,206,2,12536
9172,6,1.4,201,3,12293
28265,5,2.3,124,0,14025
15055,2,2.2,83,1,22979
27491,2,1.4,90,0,12984
58300,8,1.0,135,1,9375
43240,9,2.3,215,0,13148
41053,11,1.4,117,3,7849
43851,13,2.5,123,3,8570
56521,4,1.5,122,0,20032
24197,3,1.3,126,2,14459
80402,10,2.1,149,1,5043
77953,6,3.7,92,5,11763
64185,2,2.5,198,0,25455
72371,2,2.1,143,2,15904
60324,6,2.3,261,1,18817
203730,4,1.0,97,3,6913
46121,4,1.2,221,0,21161
39538,8,1.0,212,0,17695
28926,7,3.2,131,1,19341
23799,9,3.1,132,4,12834
20514,1,2.3,108,1,22404
26313,5,2.1,109,0,15910
46654,6,1.0,149,1,13016
61945,1,1.8,150,3,20280
50807,3,3.3,77,1,27497
28684,2,2.1,253,3,17857
92053,4,1.6,138,1,16874
82255,11,1.0,152,0,7675
43837,15,3.0,121,0,12776
31037,2,2.0,137,0,18688
71962,6,1.0,133,1,11986
55914,6,1.4,149,0,13470
17788,5,1.1,149,0,18218
46742,5,1.9,186,0,16084
58889,5,2.1,160,0,23576
26113,12,1.6,181,0,10298
55987,8,2.5,149,0,22913
17705,2,2.1,160,2,22159
124907,7,2.7,139,0,15941
117426,7,1.7,195,1,17026
41078,5,4.1,164,1,15919
63222,8,1.6,142,3,14822
9072,5,1.4,141,1,13939
21819,5,1.3,145,1,12260
39908,4,1.9,151,1,18322
23144,1,1.0,147,1,18000
80827,4,2.2,124,1,11088
198413,3,1.0,184,1,5991
21512,2,2.1,187,0,20445
27276,10,1.1,230,2,8648
57804,6,1.7,122,2,15057
151415,4,2.4,179,0,12999
20833,3,3.6,64,1,20252
58356,5,1.2,187,0,22237
175414,8,1.9,84,1,7564
15425,2,1.5,105,0,26762
19995,4,1.4,164,2,17882
36441,7,1.5,122,1,15284
34050,1,2.6,115,2,20854
86579,4,1.7,128,1,14513
58055,3,3.6,182,1,23000
14150,4,2.3,108,0,28228
70318,3,1.3,147,1,15678
32719,4,1.7,132,0,18374
119624,14,1.4,186,1,2445
31592,3,2.6,188,2,24474
31393,5,1.0,67,1,8759
71595,14,1.1,197,0,12206
83620,3,1.6,122,4,7189
67081,13,2.5,160,1,14495
15064,4,2.9,107,2,18595
71440,13,3.0,166,5,10253
23765,7,2.4,264,2,16701
57797,5,1.9,155,0,14152
18094,4,2.6,129,3,22619
66998,3,1.2,139,0,19597
27872,4,1.0,83,1,20926
19973,7,2.3,215,1,20798
80795,4,1.3,164,2,10769
58055,3,2.0,102,1,18220
31895,3,2.1,104,2,15734
135377,8,2.2,150,1,14223
36009,9,2.7,191,0,21449
50135,3,2.6,98,2,16495
59174,3,2.1,200,3,22244
31768,5,1.7,145,2,16267
68172,11,2.1,108,4,9477
33744,8,1.6,128,2,12048
36748,2,1.9,228,1,22592
127242,3,3.8,87,0,10148
23661,2,2.1,117,1,18381
9054,3,2.3,192,2,22752
151396,11,1.5,159,3,1500
292005,1,2.7,114,1,12775
36912,1,2.5,193,3,26710
12634,2,2.5,195,1,26225
39444,5,2.2,164,2,17913
40120,6,2.7,122,2,16573
42918,5,2.9,129,1,19202
22485,9,2.2,162,2,10692
73547,1,1.9,90,1,21997
70767,9,2.6,209,1,20077
17221,3,1.4,226,2,23173
79972,6,1.5,139,3,10392
206257,2,2.0,166,2,6056
55291,4,1.0,203,2,12134
38710,5,2.6,238,2,22179
44382,8,1.3,220,1,15162
75408,1,1.7,71,2,19628
14596,4,1.9,135,2,18549
54999,2,2.0,172,1,17786
37297,6,1.8,127,0,13723
178702,7,2.0,230,1,9880
43394,9,2.0,223,2,17631
157553,3,1.7,113,2,4149
22637,7,1.5,142,1,12918
73945,10,2.8,116,2,16574
61302,1,1.0,141,1,21062
26679,6,1.9,139,1,13614
55502,7,1.7,192,0,17820
114549,3,2.3,110,0,10439
39079,2,1.0,60,2,12861
14997,7,1.7,77,2,13578
48421,2,1.9,103,0,20552
26063,4,2.7,120,1,26919
38575,4,2.2,158,2,13149
46299,6,1.2,101,1,15106
14854,3,1.7,95,2,18899
15820,2,2.6,108,1,25331
68696,4,1.2,99,4,15849
33999,8,1.9,125,2,6612
8141,17,2.0,123,3,12726
84913,1,1.7,181,0,23136
59317,5,3.9,105,1,16428
29741,2,1.7,133,0,15505
19500,8,2.3,125,1,21349
87997,2,1.5,186,2,11189
62601,2,2.4,143,1,20336
259840,3,2.6,197,1,13967
65784,4,1.6,98,2,17431
64304,5,2.0,147,1,16821
43614,5,1.4,124,0,12057
86833,4,1.2,94,1,13476
75929,2,2.7,146,0,21608
117736,6,1.6,227,1,12862
34032,4,1.0,111,4,12918
36142,8,3.2,144,0,15470
35053,2,1.4,90,2,15642
85268,1,1.8,84,2,9318
139925,4,3.1,114,0,19827
35554,9,1.9,129,1,16012
36412,4,1.9,131,4,13443
61074,3,1.1,139,1,14085
41273,2,1.0,75,0,14229
95457,12,1.9,121,1,7729
10135,2,2.3,172,0,23524
27482,2,2.2,88,3,13361
28347,6,1.7,134,1,15284
9660,1,2.0,163,0,26044
24970,9,1.0,114,2,11468
25832,6,2.3,165,0,13483
42583,7,2.1,81,1,13819
106838,6,3.4,189,0,19464
41293,4,2.0,166,0,21322
23823,2,1.3,152,1,18588
47104,4,2.0,200,3,23606
102172,2,1.8,135,1,10969
24756,5,2.3,122,1,12555
25915,7,2.0,211,1,15233
72474,10,1.1,232,1,11400
41978,5,1.0,118,2,7446
77129,7,2.2,144,1,14542
48554,3,3.0,197,1,26070
80110,3,2.1,146,3,17307
23752,5,2.6,176,2,14919
48607,3,2.7,185,1,24797
42298,5,2.2,124,1,14549
20928,2,1.4,168,3,16633
16408,2,2.1,149,0,22323
79223,6,2.8,95,3,16270
38343,7,2.4,105,0,17630
23966,2,2.5,120,2,24209
45829,6,1.7,191,1,22088
107970,3,1.9,193,0,12263
9931,4,1.9,183,0,21963
17194,10,2.0,169,2,9650
25693,7,2.8,168,2,17241
136328,7,1.0,162,0,12146
59743,14,2.0,168,1,13211
83878,2,1.9,171,2,16818
22068,2,1.0,86,1,13918
22388,2,2.5,114,0,20772
67068,3,1.5,103,1,22981
51061,1,1.8,199,0,21890
71978,3,3.3,224,1,29261
42986,3,2.7,60,1,21811
59557,7,2.4,220,1,15768
54758,5,2.3,153,2,11128
84494,3,1.9,195,1,15627
86241,6,3.4,172,1,17704
15773,6,2.6,214,3,20145
10167,2,1.5,159,1,26156
98836,3,1.0,88,2,5120
112578,1,2.4,145,1,15601
23994,2,2.0,173,0,21739
13334,2,1.0,140,1,23754
52539,4,2.3,179,1,19275
94050,2,1.8,147,1,11175
172528,3,2.4,123,0,1686
70361,2,2.3,101,1,18287
37789,4,1.6,132,1,21810
26233,5,2.4,159,1,16318
49415,5,1.7,61,2,17111
39755,4,1.7,114,1,19719
24087,1,1.6,60,1,18448
205690,3,2.8,122,1,10299
171034,3,1.8,203,2,2431
108579,3,3.0,96,1,11382
25729,4,3.2,181,1,21387
89189,10,1.5,278,2,9380
76706,7,1.0,215,2,13798
66821,2,2.7,156,0,26692
117567,6,1.8,188,0,12892
76478,6,1.4,88,2,7633
82290,2,1.6,79,0,17768
76560,7,1.7,151,1,8168
62227,4,2.9,167,0,24106
14065,1,2.1,199,1,27014
51975,5,2.9,124,2,17194
33211,5,2.3,158,1,16990
20012,3,1.8,157,3,18486
159097,4,1.7,144,1,12069
164439,2,2.4,146,2,2874
126938,6,2.6,111,3,9682
58609,4,2.7,162,2,22244
126176,4,1.8,158,2,12173
49436,5,2.1,130,2,11578
56497,2,2.4,179,1,23273
22801,2,1.7,196,5,21274
64724,1,1.2,180,1,24256
51137,6,1.4,103,1,14483
19695,2,1.8,154,3,20769
47295,4,2.5,108,2,23278
46359,5,2.9,154,0,20509
172524,6,1.1,109,0,8638
91669,2,1.6,207,2,8914
49415,4,1.7,185,0,22231
58346,12,2.6,201,0,12869
50561,12,1.6,197,2,12105
42529,8,1.7,137,0,10812
22978,5,1.0,130,0,9866
44102,2,2.3,228,3,17133
29077,6,1.9,142,2,14390
20430,4,1.5,89,2,17056
70112,6,1.8,195,2,21476
64465,3,2.8,156,1,23451
14034,4,1.3,217,1,23941
44986,4,1.4,160,3,16702
98419,5,2.9,149,0,17692
102894,6,2.1,218,0,14399
100517,3,2.5,80,1,15649
50374,2,2.3,123,3,14558
27131,11,2.0,110,1,3181
22957,19,1.8,60,0,8843
62393,5,2.6,189,0,16157
63926,2,2.8,124,1,25999
120708,2,2.8,190,0,14829
105871,6,1.2,167,2,6414
44687,10,2.9,177,2,20561
20517,2,1.7,129,1,18823
39207,4,1.5,115,0,17924
57071,5,1.9,154,2,15989
42554,7,2.6,191,4,19268
32711,3,2.4,147,3,20757
58513,1,1.8,118,3,16707
34448,6,2.6,96,0,19220
31582,8,2.1,159,1,15037
60962,4,1.6,125,1,16447
36997,5,1.5,146,2,14000
58155,3,2.3,139,2,13141
59352,2,1.9,130,0,21207
22079,8,1.0,163,2,11663
35000,5,2.6,174,0,19026
134113,6,1.7,238,0,14295
21732,11,3.1,184,1,15101
11140,2,1.0,221,1,24981
13315,3,1.9,113,3,16650
50029,4,1.5,77,2,14854
50093,3,1.3,149,0,16928
45146,7,1.7,188,0,13977
114683,4,3.2,181,3,19828
7547,2,2.1,204,3,20310
64676,4,1.4,60,0,11289
146240,4,1.0,206,2,15495
22260,7,1.0,165,0,17818
37576,5,1.6,80,0,13521
28939,5,1.6,182,3,14701
26211,5,1.8,157,1,15398
39011,4,1.0,167,1,16720
133151,2,1.9,194,1,15245
177401,5,2.7,169,1,11805
38748,3,3.1,83,1,16043
186007,12,1.0,143,2,1500
50256,10,1.4,77,0,8694
167306,6,1.4,179,2,5874
45921,5,2.1,212,1,10471
53730,4,1.1,94,1,15812
63312,2,3.2,119,3,23303
453702,3,2.0,110,0,5748
88956,4,1.9,129,1,15882
29879,5,3.1,168,2,20778
96596,5,2.0,130,2,10248
38052,7,2.3,179,1,19379
34793,2,1.5,197,1,21314
92597,2,1.0,199,5,7175
50099,10,1.6,99,2,9701
59575,7,3.5,212,1,20363
49503,3,2.4,215,5,15206
62044,4,2.2,219,2,20079
66004,4,1.3,142,3,17235
12633,4,2.6,116,1,27293
78166,5,1.0,105,1,14477
24651,20,1.0,100,1,6828
17861,5,1.6,150,0,17571
47056,6,3.4,188,0,19159
51988,1,3.3,208,1,28864
30168,3,1.7,128,0,14737
87703,9,1.5,148,0,11996
19158,5,1.0,145,0,22974
36869,0,2.1,121,0,17870
32551,6,2.1,183,2,15382
47447,14,2.6,166,1,15924
59587,1,2.6,156,2,26446
24208,11,1.9,166,0,8563
